Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,MonthlyDebt,NonRealEstateLoans
1,1,0.766126609,45.0,2,9120.0,13.0,0,6.0,0,2.0,7323.19701648,7.0
2,0,0.957151019,40.0,0,2600.0,4.0,0,0.0,0,1.0,316.8781226,4.0
3,0,0.65818014,38.0,1,3042.0,2.0,1,0.0,0,0.0,258.91488675,2.0
4,0,0.233809776,30.0,0,3300.0,5.0,0,0.0,0,0.0,118.9639506,5.0
5,0,0.9072394,49.0,1,63588.0,7.0,0,1.0,0,0.0,1584.97509366,6.0
6,0,0.213178682,74.0,0,3500.0,3.0,0,1.0,0,1.0,1314.6243915,2.0
7,0,0.305682465,57.0,0,10415.591560633775,8.0,0,3.0,0,0.0,5710.0,5.0
8,0,0.754463648,39.0,0,3500.0,8.0,0,0.0,0,0.0,734.7900595,8.0
9,0,0.116950644,27.0,0,2580.9328571236756,2.0,0,0.0,0,0.0,46.0,2.0
10,0,0.189169052,57.0,0,23684.0,9.0,0,4.0,0,2.0,14359.393699284,5.0
11,0,0.644225962,30.0,0,2500.0,5.0,0,0.0,0,0.0,773.690525,5.0
12,0,0.01879812,51.0,0,6501.0,7.0,0,2.0,0,2.0,3455.46846876,5.0
13,0,0.010351857,46.0,0,12454.0,13.0,0,2.0,0,2.0,3715.70165005,11.0
14,1,0.964672555,40.0,3,13700.0,9.0,3,1.0,1,2.0,5246.6170339,8.0
15,0,0.019656581,76.0,0,0.0,6.0,0,1.0,0,0.0,477.0,5.0
16,0,0.548458062,64.0,0,11362.0,7.0,0,1.0,0,2.0,2384.790108948,6.0
17,0,0.061086118,78.0,0,6434.299701357249,10.0,0,2.0,0,0.0,2058.0,8.0
18,0,0.166284079,53.0,0,8800.0,7.0,0,0.0,0,0.0,1656.811728,7.0
19,0,0.221812771,43.0,0,3280.0,7.0,0,1.0,0,2.0,1731.47211192,6.0
20,0,0.602794411,25.0,0,333.0,2.0,0,0.0,0,0.0,21.934131579,2.0
21,0,0.200923382,43.0,0,12300.0,10.0,0,2.0,0,0.0,5289.5699574,8.0
22,1,0.025655677,38.0,0,3000.0,7.0,0,1.0,0,2.0,1427.524158,6.0
23,0,0.9999999,39.0,0,2500.0,4.0,0,0.0,0,0.0,602.7588975,4.0
24,0,0.075426584,32.0,0,7916.0,6.0,0,0.0,0,0.0,676.9144881240001,6.0
25,0,0.04656027,58.0,0,2416.0,9.0,0,1.0,0,0.0,583.75837752,8.0
26,1,0.392248482,50.0,0,4676.0,14.0,0,3.0,0,1.0,7459.404748768,11.0
27,0,0.052436094,58.0,0,8333.0,22.0,0,1.0,0,0.0,813.902325938,21.0
28,0,0.034421473,69.0,0,2500.0,17.0,0,0.0,0,1.0,105.9576175,17.0
29,0,0.452515828,24.0,0,3400.0,1.0,0,0.0,0,0.0,39.9882398,1.0
30,0,0.392994586,58.0,2,5500.0,15.0,0,1.0,0,0.0,2398.5638985,14.0
31,0,0.704073982,28.0,1,4200.0,8.0,0,0.0,0,0.0,651.8448006000001,8.0
32,0,0.9999999,24.0,0,750.0,1.0,0,0.0,0,0.0,354.52729725,1.0
33,0,0.083418009,62.0,0,5091.82492944385,6.0,0,1.0,0,0.0,977.0,5.0
34,0,0.186868556,57.0,0,7000.0,9.0,0,2.0,0,0.0,2196.6861910000002,7.0
35,0,0.693329681,42.0,2,2230.0,7.0,0,0.0,0,0.0,574.7422685700001,7.0
36,0,0.0,64.0,0,11000.0,9.0,0,1.0,0,0.0,808.926459,8.0
37,0,0.881836362,50.0,3,4000.0,9.0,0,1.0,0,1.0,2271.43214,8.0
38,0,0.9999999,75.0,1,3400.0,1.0,0,1.0,0,1.0,455.8659208,0.0
39,0,0.363636364,26.0,0,1000.0,1.0,0,0.0,0,0.0,9.99001,1.0
40,0,0.304490668,52.0,0,3500.0,10.0,0,2.0,0,0.0,2829.191659,8.0
41,0,0.71998531,41.0,1,5700.0,14.0,0,1.0,0,0.0,3075.4604447999996,13.0
42,0,0.07289757,81.0,0,5267.642577158616,7.0,0,0.0,0,0.0,75.0,7.0
43,0,0.469056842,31.0,0,9250.0,4.0,0,0.0,0,1.0,445.951787,4.0
44,0,0.718705378,28.0,0,3661.0,4.0,0,0.0,0,1.0,622.8298728540001,4.0
45,0,0.368875933,68.0,0,1.0,31.0,0,1.0,0,0.0,1687.5,30.0
46,0,0.000602723,70.0,0,16800.0,12.0,0,1.0,0,2.0,2986.8222048000002,11.0
47,0,0.061440132,62.0,0,3133.0,2.0,0,0.0,0,0.0,34.988833321,2.0
48,0,0.140110634,31.0,0,1937.0,4.0,0,2.0,0,0.0,1335.310629445,2.0
49,0,0.834048027,38.0,0,13000.0,13.0,0,2.0,0,2.0,5117.606338,11.0
50,0,7.96e-05,70.0,0,6900.0,21.0,1,1.0,0,0.0,1768.7436609,20.0
51,0,0.818977517,73.0,0,0.0,9.0,0,1.0,1,0.0,3095.0,8.0
52,1,0.728150491,31.0,0,3000.0,10.0,0,2.0,0,1.0,2474.175276,8.0
53,0,0.9999999,62.0,0,4592.647798943022,1.0,0,0.0,0,0.0,0.0,1.0
54,0,0.028562367,51.0,0,5750.0,5.0,0,1.0,0,0.0,1761.69361925,4.0
55,0,0.992015968,29.0,0,2231.0,1.0,0,0.0,0,0.0,17.991935196,1.0
56,0,0.070853769,55.0,0,13793.0,4.0,0,1.0,0,0.0,1008.926846785,3.0
57,0,0.454971915,46.0,1,13000.0,10.0,0,0.0,0,1.0,219.983075,10.0
58,0,0.401199782,64.0,0,3216.0,4.0,0,1.0,0,0.0,1129.648741392,3.0
59,0,0.541108804,43.0,0,6899.676439456099,3.0,0,1.0,0,2.0,2477.0,2.0
60,0,0.655569945,35.0,0,5813.0,10.0,0,0.0,0,2.0,1520.7383893909998,10.0
61,0,0.651603452,58.0,0,7783.0,11.0,0,1.0,0,0.0,1876.758865129,10.0
62,0,0.027399502,69.0,0,5600.0,3.0,0,0.0,0,0.0,44.991968,3.0
63,0,0.101155821,72.0,0,5672.240670559267,12.0,0,2.0,0,0.0,1720.0,10.0
64,0,0.009788862,46.0,0,3326.0,6.0,0,2.0,0,2.0,3496.948603856,4.0
65,0,0.337520702,60.0,0,4500.0,10.0,0,2.0,0,0.0,2474.4501225000004,8.0
66,0,0.0,67.0,0,3720.0,2.0,0,1.0,0,0.0,2012.45901804,1.0
67,0,0.750873672,55.0,2,7723.0,17.0,0,1.0,0,1.0,2443.6835868949997,16.0
68,0,0.006799093,27.0,1,764.0,3.0,0,0.0,0,0.0,520.318954528,3.0
69,0,0.004264079,31.0,0,2000.0,6.0,1,0.0,0,2.0,222.888556,6.0
70,0,0.26948375,64.0,0,9455.0,13.0,0,1.0,0,3.0,1522.8389408,12.0
71,0,0.265898391,36.0,0,8384.0,6.0,0,2.0,0,1.0,2201.7373898879996,4.0
72,0,0.142013011,67.0,0,6026.593648892032,7.0,0,2.0,0,0.0,1824.0,5.0
73,0,0.827708197,56.0,0,6793.0,15.0,1,1.0,0,0.0,2510.6304062950003,14.0
74,0,0.059668871,31.0,0,0.0,11.0,0,2.0,0,1.0,3162.0,9.0
75,1,0.13306279,49.0,1,10257.0,9.0,0,2.0,0,3.0,1875.8171148210001,7.0
76,0,0.234218112,36.0,0,8600.0,19.0,0,0.0,0,3.0,1002.8833841999999,19.0
77,0,0.122295933,29.0,0,4800.0,5.0,0,1.0,0,0.0,3334.3053552,4.0
78,0,0.460376317,37.0,0,4975.0,6.0,0,0.0,0,0.0,368.92584627499997,6.0
79,0,0.335558577,69.0,0,15000.0,14.0,0,2.0,0,1.0,4056.729555,12.0
80,0,0.270522569,41.0,0,1042.0,11.0,0,2.0,0,2.0,2915.20230069,9.0
81,0,0.183316667,52.0,0,10833.0,14.0,0,2.0,0,1.0,1203.888871959,12.0
82,0,0.074861676,66.0,0,4500.0,3.0,0,1.0,0,0.0,939.7911555,2.0
83,0,0.017258977,53.0,0,12414.0,13.0,0,1.0,0,2.0,32332.395494622,12.0
84,0,0.054497069,56.0,0,4950.0,18.0,0,2.0,0,0.0,2435.5079793,16.0
85,0,0.029164236,31.0,0,3300.0,10.0,0,1.0,0,0.0,1303.6049697,9.0
86,0,0.0,58.0,0,4886.0,9.0,0,1.0,0,1.0,1544.6838543640001,8.0
87,0,0.360509632,58.0,1,8020.6119534401605,8.0,0,2.0,0,0.0,3282.0,6.0
88,0,0.003749688,64.0,0,3200.0,5.0,0,0.0,1,0.0,12.9959392,5.0
89,1,0.734477501,45.0,0,4716.0,13.0,0,2.0,0,2.0,2789.408521944,11.0
90,0,0.080564168,60.0,0,4916.0,15.0,0,2.0,0,0.0,2395.512709252,13.0
91,0,0.039387786,51.0,0,0.0,7.0,0,0.0,0,0.0,15466.0,7.0
92,0,0.023767433,83.0,0,10500.0,13.0,0,0.0,0,0.0,1299.876207,13.0
93,0,0.784835658,52.0,0,6844.322281595965,10.0,0,2.0,1,0.0,2662.0,8.0
94,0,0.888822236,34.0,0,3050.0,4.0,0,0.0,0,1.0,1123.6315961,4.0
95,0,0.791173628,44.0,0,3100.0,5.0,0,1.0,0,0.0,1588.487585,4.0
96,0,0.24535301,37.0,0,6500.0,11.0,1,1.0,1,0.0,1874.7115854999997,10.0
97,0,0.542242704,48.0,2,4547.948254523455,2.0,0,0.0,0,0.0,10.0,2.0
98,0,0.010531379,57.0,0,5714.0,6.0,0,1.0,0,0.0,1603.7193357380002,5.0
99,0,0.363199686,32.0,0,2900.0,4.0,0,1.0,0,0.0,1393.5194753,3.0
100,0,0.032617977,75.0,0,7500.0,4.0,0,0.0,0,0.0,50.9931975,4.0
101,0,0.013024674,61.0,0,4884.783223958384,4.0,0,0.0,0,0.0,15.0,4.0
102,0,0.019387779,34.0,0,4000.0,9.0,0,1.0,0,0.0,1303.67408,8.0
103,0,0.634485057,52.0,0,2690.0,2.0,0,0.0,0,0.0,371.86176137,2.0
104,0,0.888008615,44.0,0,4908.0,8.0,0,0.0,0,1.0,1468.7007520559998,8.0
105,0,0.003108849,57.0,0,8333.0,7.0,0,1.0,0,0.0,2157.741061905,6.0
106,0,0.114830941,46.0,0,6250.0,6.0,0,0.0,0,3.0,163.9737625,6.0
107,0,0.018886792,80.0,0,10060.0,5.0,0,0.0,0,0.0,34.99651674,5.0
108,0,0.635415157,32.0,0,3000.0,4.0,0,1.0,0,1.0,1558.4805059999999,3.0
109,0,0.9999999,62.0,0,8314.0,8.0,0,3.0,0,0.0,5522.335780118,5.0
110,0,0.041257909,61.0,0,10647.846358727867,11.0,0,4.0,0,1.0,4739.0,7.0
111,0,0.096737158,47.0,0,8000.0,2.0,0,0.0,0,2.0,77.990248,2.0
112,0,0.31844615,58.0,0,3833.0,26.0,0,4.0,0,0.0,5299.617370964,22.0
113,0,0.186987534,52.0,0,3500.0,4.0,0,0.0,0,0.0,83.97600750000001,4.0
114,0,0.006541851,68.0,0,10000.0,10.0,0,2.0,0,1.0,1080.89191,8.0
115,0,0.180972181,39.0,1,3097.0,7.0,0,1.0,0,3.0,1190.6155577749998,6.0
116,0,0.00750765,74.0,0,4884.783223958384,4.0,0,0.0,0,0.0,7.0,4.0
117,0,0.06790706,46.0,0,10200.0,6.0,0,2.0,0,0.0,1520.8508958,4.0
118,0,0.033461782,44.0,0,4067.0,5.0,0,2.0,0,1.0,5056.756637744001,3.0
119,0,0.007520592,68.0,0,4623.767356557587,4.0,0,0.0,0,0.0,269.0,4.0
120,0,0.015271802,68.0,0,8168.0,6.0,0,0.0,0,0.0,1003.87709488,6.0
121,0,0.51712072,31.0,0,500.0,3.0,0,0.0,0,0.0,61.876247500000005,3.0
122,0,0.317975796,34.0,0,4500.0,11.0,0,2.0,0,0.0,1340.7020639999998,9.0
123,0,0.297594642,67.0,0,4145.0,13.0,0,0.0,0,0.0,992.760490055,13.0
124,0,0.444837661,58.0,0,14000.0,9.0,0,2.0,1,4.0,5131.633458,7.0
125,0,0.277956679,39.0,0,8111.990286760958,9.0,0,2.0,0,0.0,4090.0,7.0
126,0,0.003722015,58.0,0,3228.0,5.0,0,1.0,0,0.0,2044.36667628,4.0
127,0,0.0,61.0,0,3300.0,14.0,0,1.0,0,0.0,734.77734,13.0
128,0,0.0,59.0,0,19167.0,13.0,0,2.0,0,0.0,4194.781153947,11.0
129,0,0.151912549,36.0,0,12000.0,22.0,0,2.0,0,0.0,3196.7336040000005,20.0
130,0,0.0,59.0,0,4500.0,12.0,0,1.0,0,0.0,1582.648299,11.0
131,0,0.175727593,43.0,1,4882.379186296824,4.0,0,1.0,0,0.0,994.0,3.0
132,0,0.011498563,77.0,0,1000.0,1.0,0,0.0,0,0.0,1.998002,1.0
133,0,0.0,48.0,0,4550.0,7.0,0,2.0,0,0.0,2354.4825304,5.0
134,0,0.163037489,81.0,0,2751.0,7.0,0,0.0,0,1.0,237.913517058,7.0
135,0,0.047311582,51.0,0,3150.0,5.0,0,0.0,0,0.0,317.89908045,5.0
136,0,0.083880003,53.0,0,7943.0,8.0,0,1.0,0,0.0,1585.800354619,7.0
137,0,0.089478348,56.0,0,2700.0,11.0,0,1.0,0,2.0,2877.9340986,10.0
138,0,0.773519223,63.0,0,4139.0,12.0,0,1.0,0,1.0,4673.8707723669995,11.0
139,0,0.093962275,55.0,0,9450.0,6.0,0,2.0,0,0.0,1058.88795075,4.0
140,0,0.21955042,54.0,0,5417.0,20.0,0,2.0,0,1.0,1711.684017086,18.0
141,0,0.147996253,55.0,0,6799.0,5.0,0,1.0,0,0.0,2196.676909765,4.0
142,0,0.576518559,72.0,0,7374.487825562556,11.0,0,1.0,0,0.0,3031.0,10.0
143,0,0.243872021,53.0,0,8639.0,22.0,0,2.0,0,3.0,4613.465974142,20.0
144,0,0.362483818,27.0,0,3182.3827346618887,4.0,0,0.0,0,0.0,567.0,4.0
145,0,0.116676791,31.0,0,3800.0,7.0,0,1.0,0,0.0,1305.6564058,6.0
146,0,0.9999999,38.0,0,5821.0,7.0,0,1.0,0,4.0,2524.56630296,6.0
147,0,0.496911825,40.0,0,12500.0,11.0,0,2.0,0,2.0,5654.5476375,9.0
148,0,0.130902106,48.0,1,3937.0,17.0,0,1.0,0,0.0,1684.572119038,16.0
149,0,0.54699881,50.0,0,3500.0,9.0,0,2.0,0,3.0,2618.2519265,7.0
150,0,0.072277109,34.0,0,2083.0,2.0,0,0.0,0,0.0,53.974087764,2.0
151,0,0.0,48.0,2,3000.0,14.0,0,1.0,0,5.0,1112.629125,13.0
152,0,0.175932019,57.0,1,3500.0,9.0,0,1.0,0,1.0,2295.3441875000003,8.0
153,0,0.050789842,30.0,0,4000.0,4.0,0,1.0,0,1.0,1260.684828,3.0
154,0,0.0,28.0,0,3166.0,7.0,0,0.0,0,0.0,457.855383096,7.0
155,0,0.21286031,36.0,0,9583.0,10.0,0,2.0,0,1.0,5402.436249721,8.0
156,0,0.012682366,60.0,0,6825.0,20.0,0,2.0,0,0.0,2818.587018975,18.0
157,0,0.121557062,58.0,0,12000.0,23.0,0,2.0,0,4.0,4115.657028,21.0
158,0,0.040795358,49.0,0,3100.0,11.0,0,1.0,0,0.0,2486.1980005,10.0
159,0,0.147712223,40.0,0,6800.0,6.0,0,0.0,0,3.0,236.96514879999998,6.0
160,0,0.0,63.0,0,4884.783223958384,4.0,0,0.0,0,0.0,2.0,4.0
161,0,0.0,50.0,1,3477.0,5.0,0,1.0,0,1.0,2526.273434661,4.0
162,0,0.070771911,38.0,0,6040.765277932971,6.0,0,1.0,0,0.0,2088.0,5.0
164,0,0.323719804,63.0,0,5146.0,9.0,0,2.0,0,2.0,3143.389159982,7.0
165,0,0.36459777,42.0,0,6916.0,7.0,0,3.0,0,0.0,4107.406099524,4.0
166,0,0.637736406,54.0,2,1875.0,9.0,0,2.0,0,0.0,6341.61780375,7.0
167,0,0.081379827,63.0,0,5202.035607219309,8.0,0,1.0,0,0.0,1268.0,7.0
168,0,0.020966389,29.0,0,1.0,3.0,0,1.0,0,2.0,639.5,2.0
169,0,0.170103002,36.0,0,7734.0,8.0,0,0.0,0,0.0,1070.861534892,8.0
170,0,0.771845631,33.0,0,5000.0,7.0,0,3.0,0,0.0,4262.14757,4.0
171,0,0.05538241,72.0,0,4500.0,4.0,0,0.0,0,0.0,400.9109085,4.0
172,0,0.9999999,29.0,0,4042.3392671905194,2.0,0,0.0,0,0.0,974.0,2.0
173,0,0.16653274,53.0,0,7506.0,11.0,0,3.0,0,3.0,4080.456373194,8.0
174,0,0.008632035,79.0,0,4200.0,9.0,0,1.0,0,0.0,1533.6348467999999,8.0
175,0,0.13527952,58.0,0,9455.0,11.0,0,2.0,0,2.0,3233.65799358,9.0
176,0,0.167571389,69.0,0,5000.0,10.0,0,1.0,0,1.0,1653.6692650000002,9.0
177,0,0.9999999,69.0,0,2255.0,0.0,1,0.0,0,3.0,11.994680995,0.0
178,0,0.068335151,75.0,0,10065.0,9.0,0,0.0,0,0.0,109.98907194,9.0
179,0,0.0,41.0,0,2400.0,6.0,0,1.0,0,0.0,2178.0924624,5.0
180,1,0.946963874,35.0,0,5007.538707483752,6.0,0,1.0,0,1.0,1593.0,5.0
181,0,0.405183973,46.0,0,7700.0,22.0,0,2.0,0,1.0,5142.3321642,20.0
182,0,0.055549313,65.0,0,7484.154437097839,6.0,0,1.0,0,1.0,2177.0,5.0
183,0,0.676195456,55.0,0,3970.0,10.0,1,1.0,0,0.0,1733.56333319,9.0
184,0,0.184986787,55.0,4,7606.107132104929,11.0,0,1.0,0,0.0,3144.0,10.0
185,1,0.085338293,51.0,0,6200.0,11.0,0,1.0,0,0.0,2960.5224936,10.0
186,1,0.0,25.0,0,2916.0,3.0,0,0.0,1,0.0,445.847103792,3.0
187,1,0.786485406,44.0,0,3883.0,7.0,2,0.0,2,1.0,1132.708291374,7.0
188,0,0.0112096,86.0,0,4835.070658622775,3.0,0,0.0,0,0.0,13.0,3.0
189,0,0.03833451,56.0,0,5000.0,7.0,0,2.0,0,0.0,2194.56109,5.0
190,0,0.714980139,55.0,0,15000.0,12.0,0,2.0,0,3.0,7063.529100000001,10.0
191,0,0.043032042,64.0,0,6833.0,14.0,0,2.0,0,0.0,2268.667986037,12.0
193,0,0.0,49.0,0,7085.122386039965,11.0,0,1.0,0,0.0,2932.0,10.0
194,0,0.9999999,55.0,0,3250.0,5.0,0,0.0,0,4.0,507.84373899999997,5.0
195,0,0.101430135,80.0,1,5000.0,9.0,0,0.0,0,0.0,80.983805,9.0
196,1,0.025892469,38.0,0,1.0,13.0,0,0.0,0,2.0,74.5,13.0
197,0,0.762158561,44.0,4,21000.0,5.0,0,1.0,0,3.0,4713.775542,4.0
198,0,0.231692268,40.0,0,3300.0,7.0,0,0.0,0,0.0,394.88033970000004,7.0
199,0,0.114869499,35.0,0,4838.536314503413,6.0,0,0.0,0,0.0,103.0,6.0
200,0,0.035489848,69.0,0,3400.0,9.0,0,1.0,0,0.0,1048.6915629999999,8.0
201,0,0.045423864,64.0,0,5200.0,4.0,0,1.0,0,0.0,942.8186871999999,3.0
202,0,0.311954668,61.0,0,9866.0,12.0,0,2.0,0,2.0,2656.730716638,10.0
